id,primary_genre
44680,Drama
44681,Drama
44677,Comedy
44676,Drama
44674,Action
44675,Drama
44672,Drama
44673,Crime
44671,Comedy
44669,Drama
44670,Adventure
44668,Thriller
44666,Comedy
44667,Comedy
44665,Drama
44664,Comedy
44662,Documentary
44663,Thriller
44661,Comedy
44659,Documentary
44660,Music
44658,Comedy
44657,Drama
44656,Crime
44655,Action
44654,Comedy
44653,Action
44651,Action
44652,Comedy
44650,Documentary
44648,Documentary
44649,Documentary
44647,Drama
44644,Comedy
44645,Action
44646,Comedy
44643,Drama
44642,Comedy
44639,Documentary
44640,Documentary
44641,Comedy
44635,Documentary
44636,Horror
44637,Action
44638,Drama
44634,Comedy
44633,Action
44632,Drama
44631,Comedy
44629,Comedy
44630,Comedy
44627,Action
44628,Documentary
44625,Crime
44626,Comedy
44624,Animation
44623,Action
44622,Biography
44621,Adventure
44620,Documentary
44619,Action
44618,Biography
44615,Action
44616,Comedy
44617,Drama
44614,Action
44613,Comedy
44612,Documentary
44609,Documentary
44610,Documentary
44611,Comedy
44604,Drama
44605,Horror
44606,Drama
44607,Documentary
44608,Drama
44600,Drama
44601,Action
44602,Documentary
44603,Comedy
44599,Action
44598,Drama
44597,Documentary
44596,Thriller
44595,Musical
44593,Adventure
44594,Drama
44592,Crime
44591,Comedy
44590,Documentary
44589,Drama
44588,Drama
44587,Action
44586,Comedy
44585,Family
44584,Action
44583,Comedy
44581,Action
44582,Drama
44580,Adventure
44578,Documentary
44579,Action
44576,Comedy
44577,Drama
44574,Action
44575,Drama
44573,Action
44570,Action
44571,Drama
44572,Action
44568,Action
44569,Action
44567,Crime
44566,Comedy
44565,Comedy
44564,Thriller
44563,Action
44562,Documentary
44561,Drama
44560,Crime
44558,Drama
44559,Drama
44556,Documentary
44557,Comedy
44555,Comedy
44553,Family
44554,Action
44549,Animation
44550,Drama
44551,Comedy
44552,Drama
44548,Comedy
44543,Adventure
44544,Crime
44545,Adventure
44546,Crime
44547,Drama
44538,Drama
44539,Action
44540,Drama
44541,Action
44542,Romance
44536,Thriller
44537,Action
44535,Drama
44532,Drama
44533,Adventure
44534,Documentary
44531,Action
44530,Drama
44529,Family
44528,Documentary
44527,Crime
44525,Drama
44526,Adventure
44524,Action
44523,Comedy
44522,Biography
