movieId,genre
45832,Comedy
45832,Family
45832,Horror
45831,Music
45829,Horror
45830,Drama
45830,Romance
45826,Adventure
45826,Drama
45826,Horror
45826,Thriller
45827,Comedy
45827,Romance
45828,Action
45828,Drama
45825,Crime
45825,Horror
45824,Action
45824,Comedy
45824,Crime
45822,Thriller
45823,Drama
45823,Romance
45823,Thriller
45821,Drama
45821,Thriller
45820,Action
45820,Horror
45820,Thriller
45819,Comedy
45819,Romance
45818,Horror
45817,Biography
45817,Documentary
45817,Music
45816,Comedy
45816,Drama
45815,Drama
45815,Mystery
45815,Thriller
45814,Comedy
45814,Drama
45814,Family
45814,Sci-Fi
45813,Action
45813,Comedy
45810,Action
45810,Adventure
45810,Drama
45810,Fantasy
45810,Sci-Fi
45811,Action
45812,Drama
45812,Thriller
45809,Comedy
45809,Romance
45808,Drama
45808,Sci-Fi
45807,Documentary
45807,Sport
45806,Drama
45804,Documentary
45805,Animation
45805,Fantasy
45802,Documentary
45801,Action
45801,Comedy
45800,Action
45800,Crime
45800,Documentary
45799,Documentary
45798,Documentary
45797,Documentary
45796,Comedy
45795,Action
45795,Drama
45794,Action
45794,Adventure
45794,Sci-Fi
45794,Thriller
45793,Talk-Show
45790,Documentary
45791,Comedy
45792,Action
45789,Documentary
45788,Action
45788,Adventure
45788,Fantasy
45786,Comedy
45786,Drama
45786,Music
45787,Adventure
45787,Western
45785,Adventure
45785,Family
45785,Fantasy
45785,Horror
45785,Mystery
45785,Thriller
45784,Documentary
45783,Crime
45783,Drama
45781,Documentary
45782,Drama
45780,Action
45780,Drama
45780,Fantasy
45780,Horror
45779,Documentary
45778,Thriller
45777,Documentary
45777,Drama
45776,Biography
45776,Documentary
45776,Drama
45776,History
45772,Biography
45772,Documentary
45772,Music
45773,Thriller
45774,Drama
45774,Mystery
45774,Thriller
45775,Documentary
45770,Drama
45771,Action
45771,Thriller
45769,Comedy
45769,Drama
45769,Romance
45768,Comedy
45768,Drama
45766,Drama
45767,Documentary
45764,Horror
45764,Sci-Fi
45765,Documentary
45763,Documentary
45762,Documentary
45761,Action
45761,Documentary
45761,Sport
45759,Documentary
45760,Documentary
45758,Action
45757,Comedy
45756,Comedy
45756,Documentary
45755,Comedy
45755,Romance
45754,Documentary
45753,Documentary
45752,History
45751,Thriller
45750,Drama
45749,Action
45749,Adventure
45748,Horror
45748,Sci-Fi
45748,Thriller
45747,Documentary
45747,Family
45746,Action
45746,Biography
45746,Comedy
45746,Documentary
45746,Drama
45746,History
45746,Music
45746,Musical
45746,Mystery
45743,Comedy
45743,Romance
45744,Documentary
45745,Documentary
45742,Crime
45741,Drama
45740,Drama
45739,Comedy
45739,Drama
45739,Romance
45738,Action
45738,Drama
45738,History
45738,War
45737,Drama
45736,Adventure
45736,Animation
45736,Family
45736,Fantasy
45736,Musical
45735,Comedy
45735,Romance
45734,Drama
45734,Romance
45732,Drama
45731,Biography
45731,Drama
45730,Documentary
45729,Action
45728,Documentary
45727,Drama
45727,Romance
45726,Drama
45726,Romance
45726,War
45725,Comedy
45724,Drama
45724,Horror
45724,Mystery
45724,Thriller
45723,Documentary
45722,Comedy
45722,Drama
45721,Action
45721,Drama
45720,Biography
45720,Documentary
45720,Family
45720,History
45719,Crime
45718,Drama
45717,Documentary
45717,Drama
45716,Comedy
45716,Romance
45715,Western
45713,Documentary
45714,Comedy
45712,Thriller
45711,Drama
45710,Comedy
45710,Fantasy
45710,Horror
45708,Documentary
45709,Comedy
45709,Horror
45706,Documentary
45707,Drama
45707,Musical
45705,Drama
45705,Music
45705,Romance
45704,Action
45704,Comedy
45704,Drama
45704,Romance
45703,Action
45703,Sport
45702,Documentary
45701,Documentary
45700,Horror
45700,Mystery
45700,Thriller
45699,Western
45698,Comedy
45698,Drama
45696,Drama
45697,Drama
45697,Mystery
45697,Thriller
45694,Documentary
45695,Action
45695,Comedy
45695,Crime
45695,Romance
45693,Documentary
45692,Adventure
45692,Documentary
45692,Family
45690,Documentary
45691,Drama
45689,Drama
45689,Romance
45688,Biography
45688,Drama
45688,Sport
45687,Drama
45686,Documentary
45685,Documentary
45684,Comedy
45681,Drama
45681,Romance
45682,Drama
45683,Comedy
45680,Crime
45680,Drama
45680,Mystery
45679,Comedy
45679,Romance
45676,Drama
45677,Comedy
45677,Documentary
45678,Action
45675,Drama
45675,Fantasy
45675,Horror
45675,Romance
45674,Documentary
45673,Crime
45673,Thriller
45672,Drama
45672,Romance
45671,Documentary
45670,Comedy
45669,Action
45669,Drama
45668,Sci-Fi
45667,Drama
45667,War
45666,Horror
45666,Thriller
45665,Action
45665,Animation
45665,Sci-Fi
45664,Family
45664,Fantasy
45663,Comedy
45663,Horror
45662,Comedy
45662,Drama
45661,Biography
45661,Documentary
45661,Music
45660,Drama
45658,Drama
45658,Fantasy
45658,Horror
45659,Drama
45659,Thriller
45657,Documentary
45657,Sport
45656,Action
45656,Comedy
45654,Horror
45654,Mystery
45654,Thriller
45653,Drama
45653,Horror
45653,Mystery
45652,Comedy
45652,Drama
45651,Comedy
45650,Biography
45650,Drama
45650,History
45650,War
45649,Drama
45648,Horror
45648,Thriller
45647,Animation
45647,Drama
45647,Romance
45646,Action
45646,Crime
45646,Thriller
45645,Documentary
45645,News
45644,Thriller
45643,Comedy
45643,Romance
45642,Horror
45641,Documentary
45641,History
45641,Sport
45640,Action
45640,Adventure
45640,Comedy
45640,Drama
45640,Fantasy
45640,Horror
45640,Mystery
45640,Thriller
45639,Documentary
45638,Drama
45638,Mystery
45638,Thriller
45637,Drama
45637,Romance
45636,Drama
45636,Horror
45636,Mystery
45636,Thriller
45635,Thriller
45633,Comedy
45633,Drama
45633,Romance
45634,Action
45634,Horror
45634,Thriller
45632,Drama
45632,Mystery
45632,Sci-Fi
45632,Thriller
45630,Action
45631,Horror
45631,Mystery
45631,Thriller
45629,Adventure
45628,Documentary
45628,Musical
45627,Comedy
45627,Drama
45626,Documentary
45624,Comedy
45624,Romance
45625,Drama
45625,Mystery
45625,Thriller
45623,Sci-Fi
45622,Drama
45619,Action
45619,Crime
45620,Action
45620,Comedy
45621,Action
45621,Drama
45621,Sci-Fi
45617,Drama
45618,Comedy
45618,Drama
45615,Western
45616,Comedy
45616,Drama
45614,Action
45614,Documentary
45613,Biography
45613,Drama
45613,History
45612,Fantasy
45611,Action
45611,Adventure
45611,Fantasy
45611,Musical
45610,Drama
45609,Action
45609,Adventure
45609,History
45609,Mystery
45609,Thriller
45609,War
45608,Crime
45608,Drama
45608,Mystery
45608,Thriller
45607,Comedy
45607,Drama
45607,Romance
45606,Action
45606,Adventure
45605,Comedy
45605,Drama
45604,Crime
45604,Drama
45604,Thriller
45603,Drama
45603,Romance
45602,Comedy
45601,Horror
45600,Crime
45600,Drama
45599,Comedy
45599,Drama
45598,Comedy
45597,Comedy
45596,Crime
45596,Drama
45596,Thriller
45595,Adventure
45595,Comedy
45595,Drama
45592,Documentary
45593,Documentary
45594,Documentary
45591,Drama
45590,Documentary
45588,Crime
45588,Drama
45588,Thriller
45589,Comedy
45589,Drama
45589,Romance
45587,Drama
45587,Horror
45587,Mystery
45585,Biography
45585,Documentary
45585,History
45586,Crime
45586,Drama
45586,Romance
45586,Thriller
45581,Comedy
45581,Drama
45581,Romance
45581,Thriller
45582,Drama
45583,Documentary
45584,Thriller
45580,Documentary
45580,Music
45578,Music
45579,Comedy
45579,Talk-Show
45577,Documentary
45576,Drama
45574,Documentary
45574,History
45574,Music
45574,Mystery
45573,Drama
45571,Thriller
45572,Comedy
45572,Family
45572,Romance
45570,Biography
45570,Documentary
45570,Sport
45569,Comedy
45569,Documentary
45568,Drama
45568,Romance
45567,Comedy
45566,Action
45566,Comedy
45566,Crime
45566,Drama
45565,Comedy
45565,Drama
45565,Romance
45564,Comedy
45564,Drama
45563,Action
45563,Comedy
45563,Crime
45563,Thriller
45562,Action
45562,Adventure
45562,Drama
45562,Mystery
45562,Thriller
45561,Action
45561,Animation
45561,Fantasy
45560,Mystery
45559,Drama
45558,Action
45558,Horror
45558,Thriller
45556,Action
45556,Thriller
45557,Action
45557,Romance
45557,Thriller
45554,Action
45554,Horror
45555,Action
45555,Thriller
45553,Horror
45553,Mystery
45553,Thriller
45552,Action
45552,Adventure
45552,Animation
45552,Family
45552,Fantasy
45551,Drama
45551,Horror
45550,Horror
45550,Mystery
45550,Thriller
45549,Horror
45549,Mystery
45548,Action
45548,Sci-Fi
45547,Adventure
45546,Horror
45545,Drama
45544,Drama
45541,Drama
45542,Drama
45543,Adventure
45543,Animation
45543,Comedy
45543,Family
45543,Mystery
45540,Adventure
45540,Comedy
45540,Drama
45540,Fantasy
45539,Drama
45538,Animation
45538,Horror
45538,Mystery
45538,Sci-Fi
45537,Action
45537,Comedy
45537,Romance
45536,Drama
45535,Comedy
45535,Fantasy
45534,Drama
45532,Drama
45532,Fantasy
45532,Romance
45533,Drama
45531,Action
45531,Documentary
45530,Drama
45529,Comedy
45529,Romance
45528,Adventure
45528,Crime
45526,Drama
45527,Comedy
45525,Drama
45525,History
45524,Adventure
45524,Comedy
45524,Family
45523,Action
45523,Drama
45522,Western
45521,Documentary
45520,Family
45520,Fantasy
45519,Documentary
45518,Drama
45518,Family
45517,Action
45516,Comedy
45516,Drama
45515,Documentary
45513,Action
45513,Adventure
45513,Comedy
45514,Comedy
45514,Drama
45514,Romance
45512,Action
45510,Documentary
45511,Animation
45509,Documentary
45509,Drama
45508,Documentary
45507,Drama
45507,Sci-Fi
45506,Comedy
45505,Comedy
45504,Comedy
45503,Western
45500,Drama
45500,Romance
45501,Romance
45502,Thriller
45499,Biography
45499,Crime
45499,Documentary
45499,Mystery
45498,Documentary
45497,Action
45497,Animation
45497,Crime
45496,Drama
45496,War
45492,Comedy
45492,Drama
45493,Musical
45494,Action
45494,Crime
45494,Thriller
45495,Action
45491,Drama
45490,Thriller
45488,Biography
45488,Comedy
45488,Drama
45488,Fantasy
45488,Romance
45489,Horror
45489,Thriller
45487,Comedy
45487,Horror
45487,Music
45486,Comedy
45486,Romance
45486,Sci-Fi
45485,Biography
45485,Documentary
45485,News
45485,War
45484,Documentary
45483,Action
45483,Drama
45483,Mystery
45483,Thriller
45480,Drama
45481,Comedy
45482,Horror
45482,Thriller
45479,Action
45479,Crime
45479,Thriller
45477,Action
45478,Drama
45478,Romance
45476,Adventure
45476,Comedy
45476,Family
45476,Fantasy
45475,Western
45474,Drama
45474,Romance
45473,Thriller
45472,Documentary
45471,Documentary
45469,Documentary
45470,Documentary
45468,Biography
45468,Documentary
45467,Documentary
45466,Comedy
45466,Thriller
45465,Action
45465,Drama
45465,Fantasy
45464,Drama
45463,Animation
45463,Comedy
45463,Music
45463,Romance
45462,Action
45462,Comedy
45462,Family
45462,Fantasy
45461,Documentary
45461,Music
45460,Crime
45460,Thriller
45459,Thriller
45459,Western
45458,Horror
45458,Mystery
45458,Thriller
45457,Drama
45457,Horror
45455,Adventure
45455,Drama
45455,Sci-Fi
45456,Drama
45454,Adventure
45454,Comedy
45454,Drama
45454,War
45453,Comedy
45453,Horror
45453,Thriller
45451,Action
45451,Drama
45451,Horror
45451,Mystery
45451,Thriller
45452,Documentary
45450,Drama
45449,History
45448,Drama
45447,Drama
45445,Drama
45443,Drama
45444,Adventure
45444,Comedy
45444,Family
45442,Comedy
45442,Documentary
45441,Adventure
45441,Drama
45440,Documentary
45439,Documentary
45438,Biography
45438,Crime
45438,Documentary
45438,History
45437,Action
45437,History
45437,Western
45435,Drama
45436,Drama
